targy_nev,kredit,felelos,nyelv,link
Alternatív vitarendezés,3,Dr. Bán Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/PSGJ049NMBB?semester=2024/25/2
Alternative Theories of Sustainability (Sustainability Management  2),6,Dr. Harangozó Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/PHG066?semester=2024/25/2
American Government,3,Dr. Farkas-Bede Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/7PO10NFV34B?semester=2024/25/2
Analízis I,9,Dr. Kánnai Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN081NMOB?semester=2024/25/2
Analízis I.,6,Dr. Kánnai Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK06B?semester=2024/25/2
Analízis I.,6,Dr. Kánnai Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK01O?semester=2024/25/2
Analízis II,6,Dr. Kánnai Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN085NMOB?semester=2024/25/2
Analízis II.,5,Dr. Kánnai Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK03O?semester=2024/25/2
Analysing the Struggle for Power in a Global Context,6,dr. Vékony Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/NP00001NABB?semester=2024/25/2
Analysing the Struggle for Power in a Global Context,3,dr. Vékony Dániel,magyar,https://www.uni-corvinus.hu/tantargyak/NPNK046NABB?semester=2024/25/2
"Angol (ált., felső, t.mentes)/1",3,Domján Andrea,angol,https://www.uni-corvinus.hu/tantargyak/7IL50NNV03B?semester=2024/25/1
"Angol (ált., felső, t.mentes)/2",3,Domján Andrea,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0092ANAF?semester=2024/25/2
"Angol (gazdasági, felső, t.mentes)/1",3,Hartai Gabriella,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0098ANGF?semester=2024/25/1
"Angol (gazdasági, felső, t.mentes)/2",3,Hartai Gabriella,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0100ANGF?semester=2024/25/2
"Angol (gazdasági, közép, t.mentes)/1",3,Alapyné Homolya Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0102ANGK?semester=2023/24/2
"Angol (gazdasági, közép, t.mentes)/2",3,Alapyné Homolya Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/IOK0104ANGK?semester=2024/25/2
